name,lat,lon,region,hub,catchment,crop,qty
Adrian Chuulu Home,-14.5107677,29.1119848,Kapiri,Likumbi,Likumbi,Groundnut,751
Adrian Chuulu Home,-14.5107677,29.1119848,Kapiri,Likumbi,Likumbi,Soy Bean,35407
Agripa Lombe - Musungu,-10.1488532,29.7542039,Northern,Kawambwa,Kawambwa,Navy Bean,19761
Agripa Lombe - Musungu,-10.1488532,29.7542039,Northern,Kawambwa,Kawambwa,Sugar bean,3721
Aitana BP,-13.7448867,32.2494633,Kasenengwa,Kasenengwa,Ng'ongwe,Cowpea,299
Aitana BP,-13.7448867,32.2494633,Kasenengwa,Kasenengwa,Ng'ongwe,Soy Bean,39829
Aitana BP,-13.7448867,32.2494633,Kasenengwa,Kasenengwa,Ng'ongwe,Sunflower,88
Aitana BP,-13.7448867,32.2494633,Kasenengwa,Kasenengwa,Ng'ongwe,Sunnhemp,0
Albert Musonda - Musundu,-10.027736,29.8969394,Northern,Kawambwa,Kawambwa,Navy Bean,10608
Albert Musonda - Musundu,-10.027736,29.8969394,Northern,Kawambwa,Kawambwa,Sugar bean,3172
Aliel,-13.89655,32.15112,Katete,Katete-Thiwi,Thiwi,Soy Bean,14100
Amon Phiri - Msokosela,-14.013029,32.540957,Chadiza,Chadiza East,Chadiza East B,Soy Bean,21123
Amon Phiri - Msokosela,-14.013029,32.540957,Chadiza,Chadiza East,Chadiza East B,Sunflower,150
Amon Phiri - Msokosela,-14.013029,32.540957,Chadiza,Chadiza East,Chadiza East B,Sunnhemp,509
Atison Chimawe Home,-14.44359,28.99267,Kapiri,Likumbi,Likumbi,Groundnut,1872
Atison Chimawe Home,-14.44359,28.99267,Kapiri,Likumbi,Likumbi,Soy Bean,35488
Baza farm,-12.077042,32.932215,Chipangali,Chasefu,Chasefu,Groundnut,5509
Baza farm,-12.077042,32.932215,Chipangali,Chasefu,Chasefu,Soy Bean,1028
Beatrice Nyirongo - Chasamwa,-12.18498,33.089649,Chipangali,Nkhanga,Nkhanga,Soy Bean,0
BERNARD MATOKA,,,North-Western,Mukumbi,Mukumbi,Sugar bean,875
Blessed SNV BBP,-12.50569,33.402329,Chipangali,Chasefu,KAMBALE,Groundnut,1129
Brasho,-13.476525,32.299009,Chipangali,Mphomwa,Mkowe,Soy Bean,9300
Bulking Center,-10.447188,30.122499,Northern,Luwingu,Luwingu B,Navy Bean,2084
Bulking Center,-10.447188,30.122499,Northern,Luwingu,Luwingu B,Sugar bean,23529
Buyanshi,-10.01527,29.95746,Northern,Lunte,Lunte C,Navy Bean,450
Buyantanshi,-10.01527,29.98746,Northern,Lunte,Lunte C,Navy Bean,11403
Buyantanshi,-10.01527,29.98746,Northern,Lunte,Lunte C,Sugar bean,1794
Bwanga BBP Shed,-10.36534,30.08668,Northern,Luwingu,Luwingu A,Navy Bean,4865
Bwanga BBP Shed,-10.36534,30.08668,Northern,Luwingu,Luwingu A,Sugar bean,7371
Catherine Bwalya - Nkandabana,-9.95542,29.96278,Northern,Lunte,Lunte C,Navy Bean,10604
Catherine Bwalya - Nkandabana,-9.95542,29.96278,Northern,Lunte,Lunte C,Sugar bean,1319
Chadiza Boma Aggregation Shed,-14.067541,32.445083,Chadiza,Chadiza East,Chadiza East B,Sunnhemp,233
Chalimbana,-13.782385,31.994883,Katete,Katete-Thiwi,Thiwi,Soy Bean,8484
Chamoto,-13.362562,32.619177,Chipangali,Chinunda,Chitandika,Groundnut,1269
Chamoto,-13.362562,32.619177,Chipangali,Chinunda,Chitandika,Soy Bean,27669
Champhero,-12.186808,33.00132,Chipangali,Nkhanga,Nkhanga,Groundnut,1757
Chanda BBP,-10.2856883,30.1484883,Northern,Luwingu,Luwingu A,Navy Bean,3173
Chanda BBP,-10.2856883,30.1484883,Northern,Luwingu,Luwingu A,Sugar bean,11701
Chanjoka,-14.23422,31.900375,Katete,Chanjoka-Kameta,Katete B,Soy Bean,10462
Chankomo,-13.8470175,29.2137344,Kapiri,Mpula 1,Mpula 1,Groundnut,1024
Chankomo,-13.8470175,29.2137344,Kapiri,Mpula 1,Mpula 1,Soy Bean,159524
Chaola,-13.437677,32.472151,Chipangali,Mnukwa,Mnukwa,Groundnut,262
Chaola,-13.437677,32.472151,Chipangali,Mnukwa,Mnukwa,Soy Bean,57670
Chaola Shed,-13.6176836,32.0810814,Kasenengwa,Kasenengwa,Mzapawi,Cowpea,19
Chaola Shed,-13.6176836,32.0810814,Kasenengwa,Kasenengwa,Mzapawi,Groundnut,2139
Chaola Shed,-13.6176836,32.0810814,Kasenengwa,Kasenengwa,Mzapawi,Soy Bean,33744
Chaola Shed,-13.6176836,32.0810814,Kasenengwa,Kasenengwa,Mzapawi,Sunnhemp,11
Chasamwa,-12.183159,33.093865,Chipangali,Nkhanga,Nkhanga,Groundnut,2760
Chasamwa,-12.183159,33.093865,Chipangali,Nkhanga,Nkhanga,Soy Bean,405
Chenda Eka,-10.0621483,30.211667,Northern,Lunte,Lunte B,Navy Bean,20422
Chenda Eka,-10.0621483,30.211667,Northern,Lunte,Lunte B,Sugar bean,18214
Chiguya,-13.829309,32.198951,Kasenengwa,Kasenengwa,Kwenje A,Soy Bean,23137
Chikaya,-10.4476269,29.2497619,Northern,Chipili,Chipili,Navy Bean,9421
Chikaya,-10.4476269,29.2497619,Northern,Chipili,Chipili,Sugar bean,2678
Chikoba,-13.408986,32.0851814,Chipangali,Mphomwa,Chisengu,Soy Bean,24700
Chikokola,-13.372095,32.4114,Chipangali,Mnukwa,Mnukwa,Groundnut,792
Chikokola,-13.372095,32.4114,Chipangali,Mnukwa,Mnukwa,Soy Bean,41950
Chikoti BBP,,,Northern,Luwingu,Luwingu A,Sugar bean,11959
Chikumbe,-13.49005,32.378628,Chipangali,Mphomwa,Mkowe,Soy Bean,8532
Chikungu farms,-13.787768,32.21976,Kasenengwa,Kasenengwa,Kwenje B,Soy Bean,51228
Chikungu farms,-13.787768,32.21976,Kasenengwa,Kasenengwa,Kwenje B,Sunnhemp,27
Chikuyu,-12.099484,33.027034,Chipangali,Nkhanga,Nkhanga,Groundnut,9486
Chikuyu,-12.099484,33.027034,Chipangali,Nkhanga,Nkhanga,Soy Bean,2733
Chikwa,-14.10616,32.0304,Katete,Chanjoka-Kameta,Katete A,Soy Bean,6940
Chikwanda,-9.4149615,31.5164642,Northern,Senga Hill,Kavumbo,Sugar bean,18114
Chilale,-13.422551,32.355506,Chipangali,Mphomwa,Kamwanjiri,Soy Bean,18175
Chilambo,-13.176365,31.948562,Chipangali,Mphomwa,Chisengu,Soy Bean,9597
Chilangwa,-9.5896519,31.2910787,Northern,Senga Hill,Senga,Navy Bean,5803
Chilangwa,-9.5896519,31.2910787,Northern,Senga Hill,Senga,Sugar bean,7
Chilasa,-14.251127,31.9550917,Katete,Chanjoka-Kameta,Katete B,Soy Bean,4105
Chilingondi,-14.097302,32.111377,Katete,Chanjoka-Kameta,Katete A,Soy Bean,9163
Chilwa,-8.9393847,31.072499,Northern,Vyamba,Vyamba,Navy Bean,909
Chilwa,-8.9393847,31.072499,Northern,Vyamba,Vyamba,Sugar bean,36612
Chimasula,-13.7433183,31.951325,Katete,Katete-Thiwi,Thiwi,Soy Bean,46296
Chimwala,-13.226456,32.660201,Chipangali,Chinunda,Chitandika,Groundnut,446
Chimwala,-13.226456,32.660201,Chipangali,Chinunda,Chitandika,Soy Bean,10694
Chindo Cooperative Sheds,-9.3195803,31.7014065,Northern,Senga Hill,Kavumbo,Sugar bean,16950
Chingaipe,-13.525843,32.430805,Chipangali,Mphomwa,Mkowe,Groundnut,713
Chingaipe,-13.525843,32.430805,Chipangali,Mphomwa,Mkowe,Soy Bean,22700
Chinkhombe SNV,-13.947637,31.964392,Katete,Chanjoka-Kameta,Katete C,Soy Bean,3630
Chipanda,-9.2563105,31.3025094,Northern,Senga Hill,Senga,Navy Bean,6851
Chipanda,-9.2563105,31.3025094,Northern,Senga Hill,Senga,Sugar bean,8881
Chipemba,-10.1057741,30.1969933,Northern,Luwingu,Luwingu A,Navy Bean,8303
Chipemba,-10.1057741,30.1969933,Northern,Luwingu,Luwingu A,Sugar bean,6965
Chipembere Shed,-13.7922248,32.241459,Kasenengwa,Kasenengwa,Mzapawi,Groundnut,109
Chipembere Shed,-13.7922248,32.241459,Kasenengwa,Kasenengwa,Mzapawi,Soy Bean,24730
Chipembere Shed,-13.7922248,32.241459,Kasenengwa,Kasenengwa,Mzapawi,Sunnhemp,0
Chisanga,-10.0129666,30.3883827,Northern,Lunte,Lunte D,Navy Bean,6777
Chisanga,-10.0129666,30.3883827,Northern,Lunte,Lunte D,Sugar bean,8672
Chisengu,-13.316795,32.226257,Chipangali,Mphomwa,Chisengu,Groundnut,1731
Chisengu,-13.316795,32.226257,Chipangali,Mphomwa,Chisengu,Soy Bean,45674
Chitasha,-10.0597651,30.210818,Northern,Lunte,Lunte B,Navy Bean,9362
Chitasha,-10.0597651,30.210818,Northern,Lunte,Lunte B,Sugar bean,11913
Chiteu Shed,-13.7150567,32.3889967,Kasenengwa,Kasenengwa,Kasenengwa,Cowpea,17
Chiteu Shed,-13.7150567,32.3889967,Kasenengwa,Kasenengwa,Kasenengwa,Groundnut,634
Chiteu Shed,-13.7150567,32.3889967,Kasenengwa,Kasenengwa,Kasenengwa,Soy Bean,28505
Chiteu Shed,-13.7150567,32.3889967,Kasenengwa,Kasenengwa,Kasenengwa,Sunnhemp,22
chitoshi Davies,-10.1049754,30.1991785,Northern,Lunte,Lunte B,Navy Bean,14491
chitoshi Davies,-10.1049754,30.1991785,Northern,Lunte,Lunte B,Sugar bean,26260
Chitoshi Shed,-10.1048117,30.199158,Northern,Lunte,Lunte B,Navy Bean,11961
Chitoshi Shed,-10.1048117,30.199158,Northern,Lunte,Lunte B,Sugar bean,16887
